            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2366944.877083333, A.D. 1768-May-16 09:03:00.0000,  2.929782427128064E+08,  7.931326056044370E+07, -4.994870852045967E+07,
2367309.877083333, A.D. 1769-May-16 09:03:00.0000,  2.930794688619456E+08,  7.702049025406720E+07, -4.939616070606694E+07,
2367674.877083333, A.D. 1770-May-16 09:03:00.0000,  2.931549255540121E+08,  7.469483748267551E+07, -4.882702556960497E+07,
2368039.877083333, A.D. 1771-May-16 09:03:00.0000,  2.931795108030863E+08,  7.238941884792298E+07, -4.825259725588507E+07,
2368405.877083333, A.D. 1772-May-16 09:03:00.0000,  2.914126247524344E+08,  7.277364353616202E+07, -4.807336064957373E+07,
2368770.877083333, A.D. 1773-May-16 09:03:00.0000,  2.914048476750662E+08,  7.052244285644360E+07, -4.749608680307701E+07,
2369135.877083333, A.D. 1774-May-16 09:03:00.0000,  2.913395211374198E+08,  6.826773836122772E+07, -4.690810555002362E+07,
2369500.877083333, A.D. 1775-May-16 09:03:00.0000,  2.912311982598020E+08,  6.596720321039639E+07, -4.630057768280318E+07,
2369866.877083333, A.D. 1776-May-16 09:03:00.0000,  2.894087818960857E+08,  6.634974078881860E+07, -4.610499514145090E+07,
2370231.877083333, A.D. 1777-May-16 09:03:00.0000,  2.892544887132446E+08,  6.405276315906079E+07, -4.547575196552441E+07,
2370596.877083333, A.D. 1778-May-16 09:03:00.0000,  2.890632059656100E+08,  6.175302655643512E+07, -4.483795198276086E+07,
2370961.877083333, A.D. 1779-May-16 09:03:00.0000,  2.888099250731280E+08,  5.949292811981165E+07, -4.419138284933259E+07,
2371327.877083333, A.D. 1780-May-16 09:03:00.0000,  2.869161720910814E+08,  5.986362771465355E+07, -4.397582311871029E+07,
2371692.877083333, A.D. 1781-May-16 09:03:00.0000,  2.866077195604959E+08,  5.756377222837847E+07, -4.330512690946201E+07,
2372057.877083333, A.D. 1782-May-16 09:03:00.0000,  2.862381290827270E+08,  5.526762306663199E+07, -4.262004408667570E+07,
2372422.877083333, A.D. 1783-May-16 09:03:00.0000,  2.858293836196223E+08,  5.296548844993503E+07, -4.192508986150334E+07,
2372788.877083333, A.D. 1784-May-16 09:03:00.0000,  2.839003610048446E+08,  5.333043665076423E+07, -4.169113255376155E+07,
