            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454464.500000000, A.D. 2007-Dec-30 00:00:00.0000, -4.918521664468507E+07, -1.285080915171895E+08, -3.690439008589535E+07,
2454465.500000000, A.D. 2007-Dec-31 00:00:00.0000, -4.709088374973930E+07, -1.326194048078235E+08, -3.750980496633565E+07,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000, -4.482250466468607E+07, -1.366911643203901E+08, -3.814998484578450E+07,
2454467.500000000, A.D. 2008-Jan-02 00:00:00.0000, -4.238135246852258E+07, -1.407119305526518E+08, -3.882250515630148E+07,
2454468.500000000, A.D. 2008-Jan-03 00:00:00.0000, -3.976986954422848E+07, -1.446705480359010E+08, -3.952466609419741E+07,
2454469.500000000, A.D. 2008-Jan-04 00:00:00.0000, -3.699160866501865E+07, -1.485562972427851E+08, -4.025354009710833E+07,
2454470.500000000, A.D. 2008-Jan-05 00:00:00.0000, -3.405114969429798E+07, -1.523590292170865E+08, -4.100602301025925E+07,
2454471.500000000, A.D. 2008-Jan-06 00:00:00.0000, -3.095399639579798E+07, -1.560692790174087E+08, -4.177888682553343E+07,
2454472.500000000, A.D. 2008-Jan-07 00:00:00.0000, -2.770645851109563E+07, -1.596783554622780E+08, -4.256883192978117E+07,
2454473.500000000, A.D. 2008-Jan-08 00:00:00.0000, -2.431552450294857E+07, -1.631784060872516E+08, -4.337253699084400E+07,
2454474.500000000, A.D. 2008-Jan-09 00:00:00.0000, -2.078873022550908E+07, -1.665624575405991E+08, -4.418670490563367E+07,
2454475.500000000, A.D. 2008-Jan-10 00:00:00.0000, -1.713402834479249E+07, -1.698244327616231E+08, -4.500810359841537E+07,
2454476.500000000, A.D. 2008-Jan-11 00:00:00.0000, -1.335966268221283E+07, -1.729591471595393E+08, -4.583360085626796E+07,
2454477.500000000, A.D. 2008-Jan-12 00:00:00.0000, -9.474050867255256E+06, -1.759622866292855E+08, -4.666019279083177E+07,
